"set_id","card_id","card_name","quantity"
"A1","1","Bulbizarre","9"
"A1","2","Herbizarre","6"
"A1","3","Florizarre","1"
"A1","4","Florizarre ex","2"
"A1","5","Chenipan","5"
"A1","6","Chrysacier","5"
"A1","7","Papilusion","1"
"A1","8","Aspicot","7"
"A1","9","Coconfort","5"
"A1","10","Dardargnan","2"
"A1","11","Mystherbe","4"
"A1","12","Ortide","1"
"A1","13","Rafflesia","1"
"A1","14","Paras","7"
"A1","15","Parasect","2"
"A1","16","Mimitoss","6"
"A1","17","Aéromite","3"
"A1","18","Chétiflor","6"
"A1","19","Boustiflor","1"
"A1","20","Empiflor","1"
"A1","21","Nœunœuf","5"
"A1","22","Noadkoko","1"
"A1","23","Noadkoko ex","2"
"A1","24","Saquedeneu","4"
"A1","25","Insécateur","6"
"A1","26","Scarabrute","14"
"A1","27","Doudouvet","17"
"A1","28","Farfaduvet","12"
"A1","29","Chlorobule","16"
"A1","30","Fragilady","10"
"A1","31","Cabriolaine","10"
"A1","32","Chevroum","17"
"A1","33","Salamèche","5"
"A1","34","Reptincel","6"
"A1","35","Dracaufeu","1"
"A1","36","Dracaufeu ex","2"
"A1","37","Goupix","4"
"A1","38","Feunard","7"
"A1","39","Caninos","3"
"A1","40","Arcanin","1"
"A1","41","Arcanin ex","1"
"A1","42","Ponyta","13"
"A1","43","Galopa","12"
"A1","44","Magmar","2"
"A1","45","Pyroli","1"
"A1","46","Sulfura","1"
"A1","47","Sulfura ex","2"
"A1","48","Aflamanoir","16"
"A1","49","Tritox","3"
"A1","50","Malamandre","11"
"A1","51","Grillepattes","7"
"A1","52","Scolocendre","13"
"A1","53","Carapuce","1"
"A1","54","Carabaffe","2"
"A1","55","Tortank","1"
"A1","56","Tortank ex","1"
"A1","57","Psykokwak","21"
"A1","58","Akwakwak","7"
"A1","59","Ptitard","5"
"A1","60","Têtarte","5"
"A1","61","Tartard","1"
"A1","62","Tentacool","5"
"A1","63","Tentacruel","5"
"A1","64","Otaria","6"
"A1","65","Lamantine","3"
"A1","66","Kokiyas","2"
"A1","67","Crustabri","4"
"A1","68","Krabby","5"
"A1","69","Krabboss","1"
"A1","70","Hypotrempe","2"
"A1","71","Hypocéan","3"
"A1","72","Poissirène","2"
"A1","73","Poissoroy","6"
"A1","74","Stari","4"
"A1","75","Staross","1"
"A1","76","Staross ex","3"
"A1","77","Magicarpe","2"
"A1","78","Léviator","2"
"A1","79","Lokhlass","1"
"A1","80","Aquali","2"
"A1","81","Amonita","2"
"A1","82","Amonistar","2"
"A1","83","Artikodin","1"
"A1","84","Artikodin ex","1"
"A1","85","Couaneton","5"
"A1","86","Lakmécygne","2"
"A1","87","Grenousse","6"
"A1","88","Croâporal","2"
"A1","89","Amphinobi","2"
"A1","90","Concombaffe","7"
"A1","91","Denticrisse","11"
"A1","92","Frissonille","17"
"A1","93","Beldeneige","13"
"A1","94","Pikachu","5"
"A1","95","Raichu","1"
"A1","96","Pikachu ex","4"
"A1","97","Magnéti","4"
"A1","98","Magnéton","2"
"A1","99","Voltorbe","5"
"A1","100","Électrode","3"
"A1","101","Élektek","5"
"A1","102","Voltali","2"
"A1","103","Électhor","1"
"A1","104","Électhor ex","1"
"A1","105","Zébibron","5"
"A1","106","Zéblitz","5"
"A1","107","Anchwatt","3"
"A1","108","Lampéroie","4"
"A1","109","Ohmassacre","2"
"A1","110","Galvaran","9"
"A1","111","Iguolta","9"
"A1","112","Wattapik","9"
"A1","113","Mélofée","4"
"A1","114","Mélodelfe","2"
"A1","115","Abra","3"
"A1","116","Kadabra","3"
"A1","117","Alakazam","0"
"A1","118","Ramoloss","7"
"A1","119","Flagadoss","17"
"A1","120","Fantominus","6"
"A1","121","Spectrum","1"
"A1","122","Ectoplasma","1"
"A1","123","Ectoplasma ex","2"
"A1","124","Soporifik","3"
"A1","125","Hypnomade","1"
"A1","126","M. Mime","6"
"A1","127","Lippoutou","2"
"A1","128","Mewtwo","3"
"A1","129","Mewtwo ex","2"
"A1","130","Tarsal","9"
"A1","131","Kirlia","9"
"A1","132","Gardevoir","3"
"A1","133","Chovsourir","13"
"A1","134","Rhinolove","11"
"A1","135","Gringolem","21"
"A1","136","Golemastoc","15"
"A1","137","Sabelette","14"
"A1","138","Sablaireau","7"
"A1","139","Taupiqueur","2"
"A1","140","Triopikeur","3"
"A1","141","Férosinge","3"
"A1","142","Colossinge","6"
"A1","143","Machoc","3"
"A1","144","Machopeur","2"
"A1","145","Mackogneur","1"
"A1","146","Mackogneur ex","2"
"A1","147","Racaillou","4"
"A1","148","Gravalanch","1"
"A1","149","Grolem","1"
"A1","150","Onix","3"
"A1","151","Osselait","4"
"A1","152","Ossatueur","3"
"A1","153","Ossatueur ex","4"
"A1","154","Kicklee","6"
"A1","155","Tygnon","5"
"A1","156","Rhinocorne","11"
"A1","157","Rhinoféros","4"
"A1","158","Kabuto","1"
"A1","159","Kabutops","1"
"A1","160","Kungfouine","2"
"A1","161","Shaofouine","4"
"A1","162","Poulpaf","20"
"A1","163","Krakos","8"
"A1","164","Abo","16"
"A1","165","Arbok","11"
"A1","166","Nidoran♀","6"
"A1","167","Nidorina","2"
"A1","168","Nidoqueen","1"
"A1","169","Nidoran♂","5"
"A1","170","Nidorino","1"
"A1","171","Nidoking","1"
"A1","172","Nosferapti","11"
"A1","173","Nosferalto","2"
"A1","174","Tadmorv","7"
"A1","175","Grotadmorv","1"
"A1","176","Smogo","3"
"A1","177","Smogogo","3"
"A1","178","Mysdibule","2"
"A1","179","Scalpion","9"
"A1","180","Scalproie","10"
"A1","181","Meltan","6"
"A1","182","Melmetal","1"
"A1","183","Minidraco","7"
"A1","184","Draco","3"
