"set_id","card_id","card_name","quantity"
"P-A","1","Potion","1"
"P-A","2","Vitesse +","2"
"P-A","3","Scrute Main","1"
"P-A","4","Pokédex ex","1"
"P-A","5","Poké Ball","4"
"P-A","6","Carton Rouge","1"
"P-A","7","Recherches Professorales","4"
"P-A","8","Pokédex ex","1"
"P-A","9","Pikachu","1"
"P-A","10","Mewtwo","0"
"P-A","11","Leveinard","0"
"P-A","12","Miaouss","0"
"P-A","13","Papilusion","1"
"P-A","14","Lokhlass ex","0"
"P-A","15","Pikachu","1"
"P-A","16","Mélofée","1"
"P-A","17","Férosinge","0"
"P-A","18","Florizarre","4"
"P-A","19","Amphinobi","0"
"P-A","20","Spectrum","1"
"P-A","21","Onix","0"
"P-A","22","Rondoudou","0"
"P-A","23","Bulbizarre","1"
"P-A","24","Magnéti","4"
"P-A","25","Sulfura ex","0"
"P-A","26","Pikachu","1"
"P-A","27","Vipélierre","0"
"P-A","28","Pyrax","1"
"P-A","29","Tortank","1"
"P-A","30","Évoli","1"
"P-A","31","Pashmilla","1"
"P-A","32","Salamèche","0"
"P-A","33","Carapuce","0"
"P-A","34","Tiplouf","1"
"P-A","35","Tortipouss","0"
"P-A","36","Élekable","3"
"P-A","37","Cresselia ex","1"
"P-A","38","Feuforêve","0"
"P-A","39","Airmure","1"
"P-A","40","Ouisticram","0"
"P-A","41","Togepi","0"
"P-A","42","Darkrai ex","0"
"P-A","43","Ceriflor","1"
"P-A","44","Raichu","0"
"P-A","45","Tarinor","0"
"P-A","46","Griknot","1"
"P-A","47","Étouraptor","0"
"P-A","48","Manaphy","2"
"P-A","49","Ronflex","2"
"P-A","50","Mewtwo ex","0"
"P-A","51","Motorizard","1"
"P-A","52","Poussacha","0"
"P-A","53","Mustéflott","0"
"P-A","54","Pohmarmotte","0"
"P-A","55","Mackogneur","0"
"P-A","56","Abo","0"
"P-A","57","Keunotor","1"
"P-A","58","Pachirisu","0"
"P-A","59","Riolu","1"
"P-A","60","Nœunœuf","3"
"P-A","61","Grenousse","2"
"P-A","62","Canarticho","0"
"P-A","63","Rayquaza","0"
"P-A","64","Rayquaza ex","1"
"P-A","65","Rayquaza ex","0"
"P-A","66","Mimiqui","1"
"P-A","67","Cosmog","1"
"P-A","68","Lougaroc","1"
"P-A","69","Noadkoko d'Alola","0"
"P-A","70","Feunard d,'Alola","0"
"P-A","71","Crabagarre","0"
"P-A","72","Tadmorv d'Alola","0"
"P-A","73","Bazoucan","0"
