"set_id","card_id","card_name","quantity"
"A2b","1","Aspicot","8"
"A2b","2","Coconfort","8"
"A2b","3","Dardargnan ex","2"
"A2b","4","Scarabrute","11"
"A2b","5","Poussacha","14"
"A2b","6","Matourgeon","12"
"A2b","7","Miascarade","5"
"A2b","8","Salamèche","20"
"A2b","9","Reptincel","11"
"A2b","10","Dracaufeu ex","2"
"A2b","11","Magmar","11"
"A2b","12","Maganon","3"
"A2b","13","Tauros de Paldea","10"
"A2b","14","Tentacool","19"
"A2b","15","Tentacruel","8"
"A2b","16","Mustébouée","12"
"A2b","17","Mustéflott","7"
"A2b","18","Taupikeau","16"
"A2b","19","Triopikeau ex","2"
"A2b","20","Oyacata","3"
"A2b","21","Nigirigon","9"
"A2b","22","Pikachu ex","1"
"A2b","23","Voltorbe","18"
"A2b","24","Électrode","7"
"A2b","25","Pachirisu","8"
"A2b","26","Pohm","14"
"A2b","27","Pohmotte","8"
"A2b","28","Pohmarmotte","8"
"A2b","29","Abra","12"
"A2b","30","Kadabra","4"
"A2b","31","Alakazam","4"
"A2b","32","M. Mime","15"
"A2b","33","Baudrive","17"
"A2b","34","Grodrive","7"
"A2b","35","Giratina ex","2"
"A2b","36","Mordudor","15"
"A2b","37","Machoc","10"
"A2b","38","Machopeur","13"
"A2b","39","Mackogneur","9"
"A2b","40","Kicklee","12"
"A2b","41","Tygnon","13"
"A2b","42","Riolu","17"
"A2b","43","Lucario ex","2"
"A2b","44","Flamenroule","10"
"A2b","45","Abo","9"
"A2b","46","Arbok","12"
"A2b","47","Axoloto de Paldea","21"
"A2b","48","Bulbizarre ex","2"
"A2b","49","Spiritomb","10"
"A2b","50","Gribouraigne","11"
"A2b","51","Tag-Tag","4"
"A2b","52","Forgerette","18"
"A2b","53","Forgella","9"
"A2b","54","Forgelina ex","4"
"A2b","55","Vrombi","7"
"A2b","56","Vrombotor","7"
"A2b","57","Gromago","5"
"A2b","58","Rattata","16"
"A2b","59","Rattatac","19"
"A2b","60","Rondoudou","27"
"A2b","61","Grodoudou","6"
"A2b","62","Excelangue","13"
"A2b","63","Coudlangue","11"
"A2b","64","Keunotor","8"
"A2b","65","Castorno ex","2"
"A2b","66","Laporeille","20"
"A2b","67","Lockpin","15"
"A2b","68","Motorizard","18"
"A2b","69","Mashynn","16"
"A2b","70","Dame du Centre Pokémon","11"
"A2b","71","Red","7"
"A2b","72","Sbire de la Team Rocket","11"
"A2b","73","Miascarade","5"
"A2b","74","Mustébouée","4"
"A2b","75","Nigirigon","1"
"A2b","76","Tag-Tag","3"
"A2b","77","Gromago","3"
"A2b","78","Grodoudou","5"
"A2b","79","Dardargnan ex","0"
"A2b","80","Dracaufeu ex","0"
"A2b","81","Triopikeau ex","0"
"A2b","82","Pikachu ex","1"
"A2b","83","Giratina ex","0"
"A2b","84","Lucario ex","1"
"A2b","85","Bulbizarre ex","1"
"A2b","86","Forgelina ex","1"
"A2b","87","Castorno ex","0"
"A2b","88","Mashynn","0"
"A2b","89","Dame du Centre Pokémon","0"
"A2b","90","Red","0"
"A2b","91","Sbire de la Team Rocket","0"
"A2b","92","Pikachu ex","0"
"A2b","93","Bulbizarre ex","0"
"A2b","94","Forgelina ex","0"
"A2b","95","Castorno ex","0"
"A2b","96","Giratina ex","2"
"A2b","97","Aspicot","0"
"A2b","98","Coconfort","0"
"A2b","99","Salamèche","0"
"A2b","100","Reptincel","0"
"A2b","101","Taupikeau","0"
"A2b","102","Oyacata","0"
"A2b","103","Pachirisu","0"
"A2b","104","Riolu","0"
"A2b","105","Vrombi","0"
"A2b","106","Vrombotor","1"
"A2b","107","Dardargnan ex","0"
"A2b","108","Dracaufeu ex","0"
"A2b","109","Triopikeau ex","1"
"A2b","110","Lucario ex","0"
"A2b","111","Poké Ball","0"
