"set_id","card_id","card_name","quantity"
"A2a","1","Scarhino","5"
"A2a","2","Cheniti","8"
"A2a","3","Papilord","3"
"A2a","4","Apitrini","8"
"A2a","5","Apireine","9"
"A2a","6","Ceribou","6"
"A2a","7","Ceriflor","5"
"A2a","8","Ceriflor","3"
"A2a","9","Vortente","3"
"A2a","10","Phyllali ex","3"
"A2a","11","Malosse","6"
"A2a","12","Démolosse","6"
"A2a","13","Heatran","1"
"A2a","14","Marill","8"
"A2a","15","Azumarill","10"
"A2a","16","Barloche","9"
"A2a","17","Barbicha","2"
"A2a","18","Stalgamin","11"
"A2a","19","Momartik","4"
"A2a","20","Blizzi","8"
"A2a","21","Blizzaroi","2"
"A2a","22","Givrali ex","1"
"A2a","23","Palkia Forme Originelle","1"
"A2a","24","Phione","6"
"A2a","25","Pikachu","7"
"A2a","26","Raichu","3"
"A2a","27","Dynavolt","7"
"A2a","28","Élecsprint","5"
"A2a","29","Mélofée","7"
"A2a","30","Mélodelfe","7"
"A2a","31","Fantominus","7"
"A2a","32","Spectrum","4"
"A2a","33","Ectoplasma","4"
"A2a","34","Zarbi","2"
"A2a","35","Motisma","1"
"A2a","36","Simularbre","4"
"A2a","37","Phanpy","10"
"A2a","38","Donphan","5"
"A2a","39","Embrylex","7"
"A2a","40","Ymphect","2"
"A2a","41","Tyranocif","4"
"A2a","42","Tarinor","4"
"A2a","43","Méditikka","7"
"A2a","44","Charmina","5"
"A2a","45","Griknot","8"
"A2a","46","Carmache","12"
"A2a","47","Carchacrok ex","2"
"A2a","48","Nosferapti","6"
"A2a","49","Nosferalto","9"
"A2a","50","Nostenfer","1"
"A2a","51","Cradopaud","3"
"A2a","52","Coatox","7"
"A2a","53","Magnéti","11"
"A2a","54","Magnéton","8"
"A2a","55","Magnézone","1"
"A2a","56","Mysdibule","8"
"A2a","57","Tarinorme ex","1"
"A2a","58","Archéomire","9"
"A2a","59","Archéodong","6"
"A2a","60","Dialga Forme Originelle","0"
"A2a","61","Giratina","4"
"A2a","62","Évoli","9"
"A2a","63","Ronflex","5"
"A2a","64","Hoothoot","8"
"A2a","65","Noarfang","2"
"A2a","66","Étourmi","8"
"A2a","67","Étourvol","7"
"A2a","68","Étouraptor","5"
"A2a","69","Shaymin","1"
"A2a","70","Arceus","3"
"A2a","71","Arceus ex","2"
"A2a","72","Nacchara","7"
"A2a","73","Doyenne de Célestia","4"
"A2a","74","René","3"
"A2a","75","Adamantin","3"
"A2a","76","Démolosse","1"
"A2a","77","Marill","3"
"A2a","78","Zarbi","1"
"A2a","79","Simularbre","2"
"A2a","80","Magnéti","1"
"A2a","81","Shaymin","2"
"A2a","82","Phyllali ex","0"
"A2a","83","Givrali ex","0"
"A2a","84","Carchacrok ex","0"
"A2a","85","Tarinorme ex","0"
"A2a","86","Arceus ex","0"
"A2a","87","Nacchara","1"
"A2a","88","Doyenne de Célestia","0"
"A2a","89","René","0"
"A2a","90","Adamantin","1"
"A2a","91","Phyllali ex","0"
"A2a","92","Givrali ex","0"
"A2a","93","Carchacrok ex","0"
"A2a","94","Tarinorme ex","0"
"A2a","95","Arceus ex","0"
"A2a","96","Arceus ex","0"
